City,SMART,POP,URBAN,NEWRDEVP,SERVSEC,UNIRES,INTNETW
Basel,21,171513,Densely populated areas,2.1,80,26323,2
Zurich,19,409241,Densely populated areas,7.5,94,45000,4
Winterthur,16,110912,Densely populated areas,6.9,83,13485,1
Pully,14,18160,Densely populated areas,3.1,94,30000,0
Bern,8,133798,Densely populated areas,1.1,92,25555,2
Geneva,8,200548,Densely populated areas,0.9,94,16530,1
St.Gallen,8,75522,Densely populated areas,1.9,86,8872,0
Carouge,7,22336,Densely populated areas,11.2,85,16530,0
Zug,4,30205,Intermediate density areas,10.8,83,0,1
Luzern,3,81401,Densely populated,1.8,91,10609,1
Aarau,3,30205,Intermediate density areas,1.9,91,0,1
Schaffhausen,1,36332,Intermediate density areas,4.4,76,0,1
Sion,1,34599,Intermediate density areas,18.0,82,2300,0
Chur,1,35038,Intermediate density areas,6.3,88,2000,0
Montreux,1,26574,Intermediate density areas,3.0,89,0,1
Baar,1,24322,Intermediate density areas,10.4,81,0,0
Waedenswil,1,24536,Intermediate density areas,1.5,79,0,0
Vevey,1,19827,Intermediate density areas,3.6,93,0,1
Reinach,1,19144,Densely populated areas,5.8,73,0,0
Illnau-Effretikon,1,16975,Intermediate density areas,1.4,68,0,0
Wohlen,1,16078,Intermediate density areas,8.3,76,0,0
Freienbach,1,16269,Intermediate density areas,5.2,81,0,0